"","go_id","pval","padj","description","full_go","cluster"
"227","GO:0002786",0.00065529927581975,0.0457580849549814,"regulation of antibacterial peptide production","GO:0002786 regulation of antibacterial peptide production",1
"228","GO:0006468",0.000656013577791889,0.0457580849549814,"protein phosphorylation","GO:0006468 protein phosphorylation",1
"229","GO:0033572",0.000661742928800662,0.0457580849549814,"transferrin transport","GO:0033572 transferrin transport",1
"230","GO:0097475",0.00065529927581975,0.0457580849549814,"motor neuron migration","GO:0097475 motor neuron migration",1
"231","GO:0042060",0.000669924141791225,0.0461232621257473,"wound healing","GO:0042060 wound healing",1
"232","GO:0031398",0.0006734947790852,0.0461692283041854,"positive regulation of protein ubiquitination","GO:0031398 positive regulation of protein ubiquitination",1
"233","GO:0008104",0.000690071042074721,0.0463075521230226,"protein localization","GO:0008104 protein localization",1
"234","GO:0023014",0.00068920562652902,0.0463075521230226,"signal transduction by protein phosphorylation","GO:0023014 signal transduction by protein phosphorylation",1
"235","GO:0032802",0.000687464148091304,0.0463075521230226,"low-density lipoprotein particle receptor catabolic process","GO:0032802 low-density lipoprotein particle receptor catabolic process",1
"236","GO:0045765",0.000688560257126003,0.0463075521230226,"regulation of angiogenesis","GO:0045765 regulation of angiogenesis",1
"237","GO:1902043",0.000687464148091304,0.0463075521230226,"positive regulation of extrinsic apoptotic signaling pathway via death domain receptors","GO:1902043 positive regulation of extrinsic apoptotic signaling pathway via death domain receptors",1
"238","GO:0051094",0.000713686528357026,0.047691052718446,"positive regulation of developmental process","GO:0051094 positive regulation of developmental process",1
"239","GO:0070304",0.000721281641521221,0.047996917266751,"positive regulation of stress-activated protein kinase signaling cascade","GO:0070304 positive regulation of stress-activated protein kinase signaling cascade",1
"240","GO:0040011",0.000750228138042357,0.0497151179476069,"locomotion","GO:0040011 locomotion",1
"241","GO:0044782",1.31310841173288e-11,1.04418380900999e-07,"cilium organization","GO:0044782 cilium organization",2
"242","GO:0060271",1.05369439514622e-11,1.04418380900999e-07,"cilium assembly","GO:0060271 cilium assembly",2
"243","GO:0007017",7.9753631082242e-10,4.22800582910659e-06,"microtubule-based process","GO:0007017 microtubule-based process",2
"244","GO:0007018",1.50822291130659e-09,5.99669429535502e-06,"microtubule-based movement","GO:0007018 microtubule-based movement",2
"245","GO:0003341",1.55572182902192e-08,4.94843999375293e-05,"cilium movement","GO:0003341 cilium movement",2
"246","GO:0030031",3.89882597710656e-08,0.000103344880566505,"cell projection assembly","GO:0030031 cell projection assembly",2
"247","GO:0120031",4.73475593658372e-08,0.000107573654879182,"plasma membrane bounded cell projection assembly","GO:0120031 plasma membrane bounded cell projection assembly",2
"248","GO:0001539",1.39875771997213e-07,0.00024717603087152,"cilium or flagellum-dependent cell motility","GO:0001539 cilium or flagellum-dependent cell motility",2
"249","GO:0060285",1.39875771997213e-07,0.00024717603087152,"cilium-dependent cell motility","GO:0060285 cilium-dependent cell motility",2
"250","GO:0060294",1.6489329587714e-07,0.000262246297763003,"cilium movement involved in cell motility","GO:0060294 cilium movement involved in cell motility",2
"251","GO:0007288",4.85480637212407e-07,0.000701916732202374,"sperm axoneme assembly","GO:0007288 sperm axoneme assembly",2
"252","GO:0030317",7.20528338052191e-07,0.000818520192027289,"flagellated sperm motility","GO:0030317 flagellated sperm motility",2
"253","GO:0070925",6.23626952961248e-07,0.000818520192027289,"organelle assembly","GO:0070925 organelle assembly",2
"254","GO:0097722",7.20528338052191e-07,0.000818520192027289,"sperm motility","GO:0097722 sperm motility",2
"255","GO:0071286",1.98144951382824e-05,0.0210086487119495,"cellular response to magnesium ion","GO:0071286 cellular response to magnesium ion",2
"256","GO:0000226",2.13020828141339e-05,0.0211742703172491,"microtubule cytoskeleton organization","GO:0000226 microtubule cytoskeleton organization",2
"257","GO:0030030",2.29922411873401e-05,0.0215099178731445,"cell projection organization","GO:0030030 cell projection organization",2
"258","GO:0061512",2.56322925458256e-05,0.0223165185451848,"protein localization to cilium","GO:0061512 protein localization to cilium",2
"259","GO:0120036",2.66608307569487e-05,0.0223165185451848,"plasma membrane bounded cell projection organization","GO:0120036 plasma membrane bounded cell projection organization",2
"260","GO:0035735",5.49327441911131e-05,0.0436825181807731,"intraciliary transport involved in cilium assembly","GO:0035735 intraciliary transport involved in cilium assembly",2
"261","GO:0002376",5.26171358398291e-33,8.36822928396643e-29,"immune system process","GO:0002376 immune system process",3
"262","GO:0002446",5.81713511956231e-30,4.62578584707595e-26,"neutrophil mediated immunity","GO:0002446 neutrophil mediated immunity",3
"263","GO:0002274",2.66657874301808e-29,1.06023170822399e-25,"myeloid leukocyte activation","GO:0002274 myeloid leukocyte activation",3
"264","GO:0042119",2.55055009358812e-29,1.06023170822399e-25,"neutrophil activation","GO:0042119 neutrophil activation",3
"265","GO:0001775",6.10057385966429e-29,1.61705877773501e-25,"cell activation","GO:0001775 cell activation",3
"266","GO:0002444",5.34058132000345e-29,1.61705877773501e-25,"myeloid leukocyte mediated immunity","GO:0002444 myeloid leukocyte mediated immunity",3
"267","GO:0036230",8.89747830804243e-29,2.02150707158724e-25,"granulocyte activation","GO:0036230 granulocyte activation",3
"268","GO:0043312",1.68248876084804e-28,3.3447876565659e-25,"neutrophil degranulation","GO:0043312 neutrophil degranulation",3
"269","GO:0006955",2.03762747609185e-28,3.6007141533072e-25,"immune response","GO:0006955 immune response",3
"270","GO:0045321",2.52439142472996e-28,4.01479212189052e-25,"leukocyte activation","GO:0045321 leukocyte activation",3
"271","GO:0002283",2.88215940595823e-28,4.1670784720327e-25,"neutrophil activation involved in immune response","GO:0002283 neutrophil activation involved in immune response",3
"272","GO:0043299",6.25843907049415e-28,8.29451791476157e-25,"leukocyte degranulation","GO:0043299 leukocyte degranulation",3
"273","GO:0016192",1.1291501534626e-27,1.38138492620532e-24,"vesicle-mediated transport","GO:0016192 vesicle-mediated transport",3
"274","GO:0002275",2.08642596713643e-26,2.37017989866699e-23,"myeloid cell activation involved in immune response","GO:0002275 myeloid cell activation involved in immune response",3
"275","GO:0002252",1.90524703728572e-24,1.90075708130316e-21,"immune effector process","GO:0002252 immune effector process",3
"276","GO:0002366",1.91223046408769e-24,1.90075708130316e-21,"leukocyte activation involved in immune response","GO:0002366 leukocyte activation involved in immune response",3
"277","GO:0002263",3.21433268913543e-24,3.00710276988293e-21,"cell activation involved in immune response","GO:0002263 cell activation involved in immune response",3
"278","GO:0045055",7.69815263837891e-24,6.80174553115434e-21,"regulated exocytosis","GO:0045055 regulated exocytosis",3
"279","GO:0006887",1.5371261426521e-23,1.28665548277574e-20,"exocytosis","GO:0006887 exocytosis",3
"280","GO:0002443",3.27327674122366e-23,2.60290966462106e-20,"leukocyte mediated immunity","GO:0002443 leukocyte mediated immunity",3
"281","GO:0070887",6.98435509755793e-22,5.28948492721721e-19,"cellular response to chemical stimulus","GO:0070887 cellular response to chemical stimulus",3
"282","GO:0050896",6.29253379262916e-21,4.54892988354428e-18,"response to stimulus","GO:0050896 response to stimulus",3
"283","GO:0032940",1.76008168526855e-20,1.21705822271787e-17,"secretion by cell","GO:0032940 secretion by cell",3
"284","GO:0048518",3.04383612858954e-20,2.017048741212e-17,"positive regulation of biological process","GO:0048518 positive regulation of biological process",3
"285","GO:0048522",3.40070969480264e-20,2.16339547944565e-17,"positive regulation of cellular process","GO:0048522 positive regulation of cellular process",3
"286","GO:0010033",8.67223891106513e-20,5.1082699126511e-17,"response to organic substance","GO:0010033 response to organic substance",3
"287","GO:0071310",8.63284669039992e-20,5.1082699126511e-17,"cellular response to organic substance","GO:0071310 cellular response to organic substance",3
"288","GO:0140352",1.2685530358051e-19,7.205381243373e-17,"export from cell","GO:0140352 export from cell",3
"289","GO:0046903",1.35625683701073e-18,7.43789956407542e-16,"secretion","GO:0046903 secretion",3
"290","GO:0042221",9.66786911039664e-18,5.12525967772494e-15,"response to chemical","GO:0042221 response to chemical",3
"291","GO:0008219",1.41407782614157e-17,7.25467540224371e-15,"cell death","GO:0008219 cell death",3
"292","GO:0019222",2.88819459244154e-17,1.43543271244344e-14,"regulation of metabolic process","GO:0019222 regulation of metabolic process",3
"293","GO:0044419",3.67720391483652e-17,1.77218942610788e-14,"interspecies interaction between organisms","GO:0044419 interspecies interaction between organisms",3
"294","GO:0051649",2.66459642892296e-16,1.24640416487032e-13,"establishment of localization in cell","GO:0051649 establishment of localization in cell",3
"295","GO:0006950",5.0040409998757e-16,2.27383623034352e-13,"response to stress","GO:0006950 response to stress",3
"296","GO:0031323",7.15529733675202e-16,3.16105135676956e-13,"regulation of cellular metabolic process","GO:0031323 regulation of cellular metabolic process",3
"297","GO:0034097",2.61122318305049e-15,1.12240252711446e-12,"response to cytokine","GO:0034097 response to cytokine",3
"298","GO:0006810",3.06583806219134e-15,1.25023303951515e-12,"transport","GO:0006810 transport",3
"299","GO:0009605",3.00223411997633e-15,1.25023303951515e-12,"response to external stimulus","GO:0009605 response to external stimulus",3
"300","GO:0051716",4.90461933539097e-15,1.95007664775145e-12,"cellular response to stimulus","GO:0051716 cellular response to stimulus",3
"301","GO:0006954",8.43852787221495e-15,3.27332554340748e-12,"inflammatory response","GO:0006954 inflammatory response",3
"302","GO:0050794",9.80002933773363e-15,3.71094444255514e-12,"regulation of cellular process","GO:0050794 regulation of cellular process",3
"303","GO:0071345",1.09263069191272e-14,4.04120895911161e-12,"cellular response to cytokine stimulus","GO:0071345 cellular response to cytokine stimulus",3
"304","GO:0012501",1.26191771016001e-14,4.56125892326929e-12,"programmed cell death","GO:0012501 programmed cell death",3
"305","GO:0010604",2.39879128337647e-14,8.47786146018207e-12,"positive regulation of macromolecule metabolic process","GO:0010604 positive regulation of macromolecule metabolic process",3
"306","GO:0050789",2.4826680493607e-14,8.58355492544188e-12,"regulation of biological process","GO:0050789 regulation of biological process",3
"307","GO:0065007",3.60334913948093e-14,1.21931201519797e-11,"biological regulation","GO:0065007 biological regulation",3
"308","GO:0009893",4.59283292432463e-14,1.49070234343794e-11,"positive regulation of metabolic process","GO:0009893 positive regulation of metabolic process",3
"309","GO:1901700",4.50503965358295e-14,1.49070234343794e-11,"response to oxygen-containing compound","GO:1901700 response to oxygen-containing compound",3
"310","GO:0051246",4.88207978853821e-14,1.55289193913823e-11,"regulation of protein metabolic process","GO:0051246 regulation of protein metabolic process",3
"311","GO:0051234",5.11743700029814e-14,1.59583760887729e-11,"establishment of localization","GO:0051234 establishment of localization",3
"312","GO:0060255",6.23290379972792e-14,1.90630965443986e-11,"regulation of macromolecule metabolic process","GO:0060255 regulation of macromolecule metabolic process",3
"313","GO:0002682",1.00749631702492e-13,3.02324932565364e-11,"regulation of immune system process","GO:0002682 regulation of immune system process",3
"314","GO:0048584",1.7224921871538e-13,5.0730584712026e-11,"positive regulation of response to stimulus","GO:0048584 positive regulation of response to stimulus",3
"315","GO:0007154",2.48024703615084e-13,7.17197252053508e-11,"cell communication","GO:0007154 cell communication",3
"316","GO:0051641",2.64754626218886e-13,7.51903138461636e-11,"cellular localization","GO:0051641 cellular localization",3
"317","GO:0006952",3.90998526669350e-13,1.07214492554299e-10,"defense response","GO:0006952 defense response",3
"318","GO:0048523",3.84839125777913e-13,1.07214492554299e-10,"negative regulation of cellular process","GO:0048523 negative regulation of cellular process",3
"319","GO:0009607",4.19487960547173e-13,1.13076890246479e-10,"response to biotic stimulus","GO:0009607 response to biotic stimulus",3
"320","GO:0032268",5.20149800426197e-13,1.37874373766304e-10,"regulation of cellular protein metabolic process","GO:0032268 regulation of cellular protein metabolic process",3
"321","GO:0051707",5.29810694096082e-13,1.38132938998428e-10,"response to other organism","GO:0051707 response to other organism",3
"322","GO:0043207",5.62373737541763e-13,1.44257934223616e-10,"response to external biotic stimulus","GO:0043207 response to external biotic stimulus",3
"323","GO:0019221",5.96983065098325e-13,1.50705058211488e-10,"cytokine-mediated signaling pathway","GO:0019221 cytokine-mediated signaling pathway",3
"324","GO:0007165",1.58398718216828e-12,3.93620814768817e-10,"signal transduction","GO:0007165 signal transduction",3
"325","GO:0048519",1.96545650948301e-12,4.73615459497239e-10,"negative regulation of biological process","GO:0048519 negative regulation of biological process",3
"326","GO:0080090",1.93572531609529e-12,4.73615459497239e-10,"regulation of primary metabolic process","GO:0080090 regulation of primary metabolic process",3
"327","GO:0048583",2.1944874597551e-12,5.20912366566346e-10,"regulation of response to stimulus","GO:0048583 regulation of response to stimulus",3
"328","GO:0050790",2.31348541820036e-12,5.41083413103803e-10,"regulation of catalytic activity","GO:0050790 regulation of catalytic activity",3
"329","GO:0051173",3.93857016312021e-12,8.94843141060911e-10,"positive regulation of nitrogen compound metabolic process","GO:0051173 positive regulation of nitrogen compound metabolic process",3
"330","GO:0051179",3.88940190026121e-12,8.94843141060911e-10,"localization","GO:0051179 localization",3
"331","GO:0051171",4.15433950760399e-12,9.30572049703293e-10,"regulation of nitrogen compound metabolic process","GO:0051171 regulation of nitrogen compound metabolic process",3
"332","GO:0002221",5.56027351483156e-12,1.22820263860946e-09,"pattern recognition receptor signaling pathway","GO:0002221 pattern recognition receptor signaling pathway",3
"333","GO:0023052",5.87050601940474e-12,1.27896613332347e-09,"signaling","GO:0023052 signaling",3
"334","GO:0080134",6.27022030161389e-12,1.34758896860632e-09,"regulation of response to stress","GO:0080134 regulation of response to stress",3
"335","GO:0051247",6.65466153630098e-12,1.41114316097774e-09,"positive regulation of protein metabolic process","GO:0051247 positive regulation of protein metabolic process",3
"336","GO:0031325",6.97060968973821e-12,1.45869179612627e-09,"positive regulation of cellular metabolic process","GO:0031325 positive regulation of cellular metabolic process",3
"337","GO:0065009",8.0160681178528e-12,1.65568243306923e-09,"regulation of molecular function","GO:0065009 regulation of molecular function",3
"338","GO:0044403",9.24015026584157e-12,1.88404294651211e-09,"symbiotic process","GO:0044403 symbiotic process",3
"339","GO:0031399",1.08005870142713e-11,2.17433589715153e-09,"regulation of protein modification process","GO:0031399 regulation of protein modification process",3
"340","GO:0032103",1.11842058294847e-11,2.22342011890157e-09,"positive regulation of response to external stimulus","GO:0032103 positive regulation of response to external stimulus",3
"341","GO:0031401",1.18188087884757e-11,2.32057203669034e-09,"positive regulation of protein modification process","GO:0031401 positive regulation of protein modification process",3
"342","GO:0006915",1.27843372531441e-11,2.47953780090248e-09,"apoptotic process","GO:0006915 apoptotic process",3
"343","GO:0043085",1.41103068616893e-11,2.70373879913623e-09,"positive regulation of catalytic activity","GO:0043085 positive regulation of catalytic activity",3
"344","GO:0006464",1.45666332040624e-11,2.72550275855774e-09,"cellular protein modification process","GO:0006464 cellular protein modification process",3
"345","GO:0036211",1.45666332040624e-11,2.72550275855774e-09,"protein modification process","GO:0036211 protein modification process",3
"346","GO:0002224",1.59857420206639e-11,2.9562469894958e-09,"toll-like receptor signaling pathway","GO:0002224 toll-like receptor signaling pathway",3
"347","GO:0032101",1.86998813529464e-11,3.41842428778459e-09,"regulation of response to external stimulus","GO:0032101 regulation of response to external stimulus",3
"348","GO:0006909",2.0118512772527e-11,3.59511041723898e-09,"phagocytosis","GO:0006909 phagocytosis",3
"349","GO:0010941",1.99384420169192e-11,3.59511041723898e-09,"regulation of cell death","GO:0010941 regulation of cell death",3
"350","GO:1901698",2.67341877089141e-11,4.72422801469523e-09,"response to nitrogen compound","GO:1901698 response to nitrogen compound",3
"351","GO:0001816",3.23312475817186e-11,5.65050726966651e-09,"cytokine production","GO:0001816 cytokine production",3
"352","GO:0044093",3.65663459409665e-11,6.3212083244036e-09,"positive regulation of molecular function","GO:0044093 positive regulation of molecular function",3
"353","GO:0032270",4.40480996140815e-11,7.53269866948766e-09,"positive regulation of cellular protein metabolic process","GO:0032270 positive regulation of cellular protein metabolic process",3
"354","GO:0009967",4.94034319371407e-11,8.35864022902432e-09,"positive regulation of signal transduction","GO:0009967 positive regulation of signal transduction",3
"355","GO:0043412",5.40945971861283e-11,9.05600498577036e-09,"macromolecule modification","GO:0043412 macromolecule modification",3
"356","GO:0035556",5.59926372648804e-11,9.27611357354852e-09,"intracellular signal transduction","GO:0035556 intracellular signal transduction",3
"357","GO:0010243",7.60733796058526e-11,1.24728972087781e-08,"response to organonitrogen compound","GO:0010243 response to organonitrogen compound",3
"358","GO:0061024",8.3718093414094e-11,1.35862505883444e-08,"membrane organization","GO:0061024 membrane organization",3
"359","GO:1901701",9.59052581475056e-11,1.54068406624033e-08,"cellular response to oxygen-containing compound","GO:1901701 cellular response to oxygen-containing compound",3
"360","GO:0033993",1.15618741317262e-10,1.83880046190974e-08,"response to lipid","GO:0033993 response to lipid",3
"361","GO:0045859",1.52095795781646e-10,2.39498171892207e-08,"regulation of protein kinase activity","GO:0045859 regulation of protein kinase activity",3
"362","GO:0016032",1.59865030133931e-10,2.49264062671573e-08,"viral process","GO:0016032 viral process",3
"363","GO:0033554",2.20441037688241e-10,3.4037808382464e-08,"cellular response to stress","GO:0033554 cellular response to stress",3
"364","GO:0045860",2.98398649797703e-10,4.56320396767564e-08,"positive regulation of protein kinase activity","GO:0045860 positive regulation of protein kinase activity",3
"365","GO:0001817",4.23305256266623e-10,6.32815654746659e-08,"regulation of cytokine production","GO:0001817 regulation of cytokine production",3
"366","GO:0044267",4.25749968925381e-10,6.32815654746659e-08,"cellular protein metabolic process","GO:0044267 cellular protein metabolic process",3
"367","GO:0071900",4.2140091767108e-10,6.32815654746659e-08,"regulation of protein serine/threonine kinase activity","GO:0071900 regulation of protein serine/threonine kinase activity",3
"368","GO:0023056",4.39982472894585e-10,6.47914930455137e-08,"positive regulation of signaling","GO:0023056 positive regulation of signaling",3
"369","GO:0009719",4.76182326984736e-10,6.91643606640807e-08,"response to endogenous stimulus","GO:0009719 response to endogenous stimulus",3
"370","GO:0042060",4.78375230951262e-10,6.91643606640807e-08,"wound healing","GO:0042060 wound healing",3
"371","GO:0010647",5.70489598952422e-10,8.17393385742281e-08,"positive regulation of cell communication","GO:0010647 positive regulation of cell communication",3
"372","GO:0009611",7.61800908923838e-10,1.08175729067185e-07,"response to wounding","GO:0009611 response to wounding",3
"373","GO:0051347",7.75676138374489e-10,1.09171268183256e-07,"positive regulation of transferase activity","GO:0051347 positive regulation of transferase activity",3
"374","GO:0043549",8.39146188100212e-10,1.17068254171454e-07,"regulation of kinase activity","GO:0043549 regulation of kinase activity",3
"375","GO:0042325",8.85478132477865e-10,1.22457775816765e-07,"regulation of phosphorylation","GO:0042325 regulation of phosphorylation",3
"376","GO:0098542",9.29222779694938e-10,1.27399647312658e-07,"defense response to other organism","GO:0098542 defense response to other organism",3
"377","GO:0031324",1.3154038834393e-09,1.78804986001868e-07,"negative regulation of cellular metabolic process","GO:0031324 negative regulation of cellular metabolic process",3
"378","GO:0009617",1.41459154613877e-09,1.90658169066025e-07,"response to bacterium","GO:0009617 response to bacterium",3
"379","GO:0051338",1.6821279920445e-09,2.24811458701477e-07,"regulation of transferase activity","GO:0051338 regulation of transferase activity",3
"380","GO:0010942",1.70470490817219e-09,2.25930223829754e-07,"positive regulation of cell death","GO:0010942 positive regulation of cell death",3
"381","GO:0031347",1.72603888870217e-09,2.26867127982805e-07,"regulation of defense response","GO:0031347 regulation of defense response",3
"382","GO:0002684",1.78373572965875e-09,2.32528959381088e-07,"positive regulation of immune system process","GO:0002684 positive regulation of immune system process",3
"383","GO:0051128",1.91433959011026e-09,2.47525665374908e-07,"regulation of cellular component organization","GO:0051128 regulation of cellular component organization",3
"384","GO:0042327",2.16567006429039e-09,2.77764650826407e-07,"positive regulation of phosphorylation","GO:0042327 positive regulation of phosphorylation",3
"385","GO:0019220",2.45238408866024e-09,3.12021732368419e-07,"regulation of phosphate metabolic process","GO:0019220 regulation of phosphate metabolic process",3
"386","GO:0016236",2.58050445785581e-09,3.23152306281408e-07,"macroautophagy","GO:0016236 macroautophagy",3
"387","GO:0051174",2.56081954708883e-09,3.23152306281408e-07,"regulation of phosphorus metabolic process","GO:0051174 regulation of phosphorus metabolic process",3
"388","GO:0001932",2.79011003942941e-09,3.46671172399104e-07,"regulation of protein phosphorylation","GO:0001932 regulation of protein phosphorylation",3
"389","GO:0071496",2.98477682985246e-09,3.67983648852508e-07,"cellular response to external stimulus","GO:0071496 cellular response to external stimulus",3
"390","GO:0002237",3.06508079654366e-09,3.74977269140234e-07,"response to molecule of bacterial origin","GO:0002237 response to molecule of bacterial origin",3
"391","GO:0033674",3.48162901948346e-09,4.22685709357748e-07,"positive regulation of kinase activity","GO:0033674 positive regulation of kinase activity",3
"392","GO:0016310",3.91356411773826e-09,4.71525179761433e-07,"phosphorylation","GO:0016310 phosphorylation",3
"393","GO:0032496",4.00948090851229e-09,4.7944950653368e-07,"response to lipopolysaccharide","GO:0032496 response to lipopolysaccharide",3
"394","GO:0038093",4.1946330210557e-09,4.97846593782611e-07,"Fc receptor signaling pathway","GO:0038093 Fc receptor signaling pathway",3
"395","GO:1902533",4.47816836945559e-09,5.2756140553942e-07,"positive regulation of intracellular signal transduction","GO:1902533 positive regulation of intracellular signal transduction",3
"396","GO:0046649",4.69071385389496e-09,5.44533672498871e-07,"lymphocyte activation","GO:0046649 lymphocyte activation",3
"397","GO:0071902",4.67277320806382e-09,5.44533672498871e-07,"positive regulation of protein serine/threonine kinase activity","GO:0071902 positive regulation of protein serine/threonine kinase activity",3
"398","GO:1902531",4.87767134466342e-09,5.62133949750196e-07,"regulation of intracellular signal transduction","GO:1902531 regulation of intracellular signal transduction",3
"399","GO:0009894",5.93026350987339e-09,6.78524538568535e-07,"regulation of catabolic process","GO:0009894 regulation of catabolic process",3
"400","GO:0001819",6.71993513495855e-09,7.63384631331291e-07,"positive regulation of cytokine production","GO:0001819 positive regulation of cytokine production",3
"401","GO:0006793",7.03613621891845e-09,7.93636244153752e-07,"phosphorus metabolic process","GO:0006793 phosphorus metabolic process",3
"402","GO:0043067",7.89636349040459e-09,8.84392710925314e-07,"regulation of programmed cell death","GO:0043067 regulation of programmed cell death",3
"403","GO:0019538",8.00690546286758e-09,8.9050226910102e-07,"protein metabolic process","GO:0019538 protein metabolic process",3
"404","GO:0007166",8.12242829583077e-09,8.97077080672865e-07,"cell surface receptor signaling pathway","GO:0007166 cell surface receptor signaling pathway",3
"405","GO:0009725",8.25801449454845e-09,9.05761810491714e-07,"response to hormone","GO:0009725 response to hormone",3
"406","GO:0042110",8.38566136866221e-09,9.13462728816464e-07,"T cell activation","GO:0042110 T cell activation",3
"407","GO:0006914",8.94507498453194e-09,9.61232922662135e-07,"autophagy","GO:0006914 autophagy",3
"408","GO:0061919",8.94507498453194e-09,9.61232922662135e-07,"process utilizing autophagic mechanism","GO:0061919 process utilizing autophagic mechanism",3
"409","GO:0051172",9.42396391279231e-09,1.00589746355066e-06,"negative regulation of nitrogen compound metabolic process","GO:0051172 negative regulation of nitrogen compound metabolic process",3
"410","GO:0045087",9.89943204680195e-09,1.04960378181559e-06,"innate immune response","GO:0045087 innate immune response",3
"411","GO:0042981",1.00443910392236e-08,1.05792049727028e-06,"regulation of apoptotic process","GO:0042981 regulation of apoptotic process",3
"412","GO:0010562",1.29840986313251e-08,1.34966735053983e-06,"positive regulation of phosphorus metabolic process","GO:0010562 positive regulation of phosphorus metabolic process",3
"413","GO:0045937",1.29840986313251e-08,1.34966735053983e-06,"positive regulation of phosphate metabolic process","GO:0045937 positive regulation of phosphate metabolic process",3
"414","GO:0009966",1.57863202403874e-08,1.63029634482546e-06,"regulation of signal transduction","GO:0009966 regulation of signal transduction",3
"415","GO:0006468",1.70533931711276e-08,1.74978816124911e-06,"protein phosphorylation","GO:0006468 protein phosphorylation",3
"416","GO:0001934",1.78824528595408e-08,1.81148108457412e-06,"positive regulation of protein phosphorylation","GO:0001934 positive regulation of protein phosphorylation",3
"417","GO:0006796",1.78468643102274e-08,1.81148108457412e-06,"phosphate-containing compound metabolic process","GO:0006796 phosphate-containing compound metabolic process",3
"418","GO:0031349",2.28378914573105e-08,2.29882168188016e-06,"positive regulation of defense response","GO:0031349 positive regulation of defense response",3
"419","GO:0009056",2.32599035913738e-08,2.32657551394471e-06,"catabolic process","GO:0009056 catabolic process",3
"420","GO:1901652",2.74094665039949e-08,2.72450097049709e-06,"response to peptide","GO:1901652 response to peptide",3
"421","GO:0050776",3.07872889195665e-08,3.04124871414153e-06,"regulation of immune response","GO:0050776 regulation of immune response",3
"422","GO:0071495",3.21026419624649e-08,3.15160751710519e-06,"cellular response to endogenous stimulus","GO:0071495 cellular response to endogenous stimulus",3
"423","GO:0009628",3.3440473209796e-08,3.26280543514476e-06,"response to abiotic stimulus","GO:0009628 response to abiotic stimulus",3
"424","GO:0002431",3.49527156949341e-08,3.38956091714775e-06,"Fc receptor mediated stimulatory signaling pathway","GO:0002431 Fc receptor mediated stimulatory signaling pathway",3
"425","GO:0050727",3.64210086192576e-08,3.51054376412529e-06,"regulation of inflammatory response","GO:0050727 regulation of inflammatory response",3
"426","GO:0009892",3.70581326973524e-08,3.55043700252225e-06,"negative regulation of metabolic process","GO:0009892 negative regulation of metabolic process",3
"427","GO:0050900",4.0207898900547e-08,3.82914026415748e-06,"leukocyte migration","GO:0050900 leukocyte migration",3
"428","GO:0016477",4.04552130796435e-08,3.82976017153959e-06,"cell migration","GO:0016477 cell migration",3
"429","GO:0043068",5.08438912945871e-08,4.7847411073912e-06,"positive regulation of programmed cell death","GO:0043068 positive regulation of programmed cell death",3
"430","GO:0043065",6.78868699767063e-08,6.35101635358551e-06,"positive regulation of apoptotic process","GO:0043065 positive regulation of apoptotic process",3
"431","GO:0043434",6.90204647775735e-08,6.41930685276333e-06,"response to peptide hormone","GO:0043434 response to peptide hormone",3
"432","GO:0042886",7.22413729695551e-08,6.67980695178956e-06,"amide transport","GO:0042886 amide transport",3
"433","GO:0051248",7.29895944160893e-08,6.70997982423979e-06,"negative regulation of protein metabolic process","GO:0051248 negative regulation of protein metabolic process",3
"434","GO:0023051",7.41125507383292e-08,6.77405751116315e-06,"regulation of signaling","GO:0023051 regulation of signaling",3
"435","GO:0010646",8.17493010906133e-08,7.42937648311494e-06,"regulation of cell communication","GO:0010646 regulation of cell communication",3
"436","GO:0033036",8.27850456376174e-08,7.45793661525942e-06,"macromolecule localization","GO:0033036 macromolecule localization",3
"437","GO:0046907",8.30014324007116e-08,7.45793661525942e-06,"intracellular transport","GO:0046907 intracellular transport",3
"438","GO:0031329",8.67865416105645e-08,7.75423122345179e-06,"regulation of cellular catabolic process","GO:0031329 regulation of cellular catabolic process",3
"439","GO:0038094",8.77674512685085e-08,7.79806449706346e-06,"Fc-gamma receptor signaling pathway","GO:0038094 Fc-gamma receptor signaling pathway",3
"440","GO:0015833",8.94243459006635e-08,7.90113776224529e-06,"peptide transport","GO:0015833 peptide transport",3
"441","GO:0015031",1.10558213189815e-07,9.71446310812605e-06,"protein transport","GO:0015031 protein transport",3
"442","GO:0032269",1.35466161525702e-07,1.18376584225536e-05,"negative regulation of cellular protein metabolic process","GO:0032269 negative regulation of cellular protein metabolic process",3
"443","GO:0044260",1.43812972498471e-07,1.24983689323261e-05,"cellular macromolecule metabolic process","GO:0044260 cellular macromolecule metabolic process",3
"444","GO:0010468",1.46792644793859e-07,1.26879903413127e-05,"regulation of gene expression","GO:0010468 regulation of gene expression",3
"445","GO:2000147",1.48788960189789e-07,1.27910249884238e-05,"positive regulation of cell motility","GO:2000147 positive regulation of cell motility",3
"446","GO:0030335",1.52039285234823e-07,1.30001763030894e-05,"positive regulation of cell migration","GO:0030335 positive regulation of cell migration",3
"447","GO:0032879",1.68965653579842e-07,1.43260319658337e-05,"regulation of localization","GO:0032879 regulation of localization",3
"448","GO:0097190",1.69346957342601e-07,1.43260319658337e-05,"apoptotic signaling pathway","GO:0097190 apoptotic signaling pathway",3
"449","GO:0040017",1.80152871564438e-07,1.51595305257186e-05,"positive regulation of locomotion","GO:0040017 positive regulation of locomotion",3
